256 256
124.647 123.668 65.8449
124.676 124.166 66.3277
124.704 124.663 66.8113
124.731 125.161 67.2958
124.756 125.659 67.7812
124.779 126.156 68.2674
124.802 126.654 68.7545
124.823 127.152 69.2424
124.843 127.65 69.7312
124.863 128.149 70.2208
124.882 128.647 70.7113
124.901 129.146 71.2026
124.919 129.645 71.6949
124.937 130.144 72.1879
124.954 130.644 72.6818
124.972 131.144 73.1766
124.989 131.644 73.6723
125.007 132.145 74.1687
125.025 132.646 74.6661
125.044 133.148 75.1643
125.063 133.65 75.6633
125.083 134.152 76.1633
125.104 134.655 76.664
125.126 135.159 77.1657
125.149 135.663 77.6682
125.173 136.168 78.1715
125.198 136.673 78.6757
125.225 137.179 79.1808
125.253 137.685 79.6867
125.283 138.193 80.1934
125.315 138.701 80.7011
125.349 139.209 81.2096
125.385 139.719 81.7189
125.424 140.229 82.2291
125.464 140.74 82.7401
125.507 141.252 83.252
125.553 141.764 83.7643
125.603 142.275 84.2753
125.656 142.783 84.7832
125.715 143.286 85.2862
125.78 143.782 85.7824
125.852 144.27 86.27
125.931 144.747 86.7471
126.019 145.212 87.212
126.117 145.663 87.6628
126.224 146.098 88.0977
126.342 146.515 88.5148
126.473 146.912 88.9124
126.616 147.289 89.2885
126.772 147.641 89.6414
126.943 147.969 89.9693
127.128 148.27 90.2702
127.33 148.542 90.5424
127.548 148.784 90.784
127.784 148.993 90.9932
128.039 149.168 91.1683
128.313 149.307 91.3072
128.607 149.408 91.4083
128.921 149.47 91.4697
129.258 149.489 91.4895
129.617 149.466 91.4659
129.999 149.397 91.3971
130.406 149.281 91.2813
130.837 149.117 91.1167
131.295 148.901 90.9013
131.779 148.633 90.6334
132.291 148.311 90.3112
132.831 147.933 89.9327
133.401 147.496 89.4963
134 147 89
126 148 90
125.49 148.357 90.259
124.98 148.623 90.4344
124.471 148.814 90.5413
123.964 148.944 90.593
123.458 149.027 90.6018
122.954 149.072 90.5784
122.452 149.091 90.532
121.952 149.091 90.4711
121.454 149.081 90.4025
